,Player,G,MP,FG,FGA,3P,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FT%,FG%,d_FG%,d_FT%
70,Reggie Bullock,16.0,362.0,36.0,99.0,1.1875,3.0,5.0,4.0,43.0,2.9375,0.75,0.3125,0.0625,0.5,23.0,5.875,60.0,36.36363636363637,-285.2923120098425,-45.15565932879012
71,Trey Burke,8.0,84.0,15.0,36.0,0.625,8.0,9.0,0.0,6.0,0.75,0.875,0.5,0.0,0.875,4.0,5.375,88.88888888888889,41.666666666666664,-39.326342125313225,110.69601956767076
72,Alec Burks,19.0,407.0,59.0,138.0,1.9473684210526316,31.0,38.0,6.0,63.0,3.6315789473684212,1.736842105263158,1.0526315789473684,0.3157894736842105,0.631578947368421,38.0,9.789473684210526,81.57894736842105,42.7536231884058,-90.55317757695653,202.33888869022144
73,Jared Butler,12.0,54.0,6.0,24.0,0.25,2.0,4.0,0.0,7.0,0.5833333333333334,0.5833333333333334,0.08333333333333333,0.5,0.5833333333333334,11.0,1.4166666666666667,50.0,25.0,-115.73053685012528,-50.10377288586008
74,Jimmy Butler,16.0,546.0,129.0,245.0,0.375,119.0,140.0,26.0,69.0,5.9375,5.3125,1.9375,0.3125,2.0,27.0,23.9375,85.0,52.6530612244898,1079.0383556814904,1183.8255132913253
75,Kentavious Caldwell-Pope,19.0,563.0,69.0,167.0,2.1052631578947367,21.0,25.0,10.0,60.0,3.6842105263157894,1.4736842105263157,1.368421052631579,0.3684210526315789,1.105263157894737,31.0,10.473684210526315,84.0,41.31736526946108,-205.0029701836263,187.91038469846916
76,Facundo Campazzo,18.0,315.0,32.0,78.0,1.0555555555555556,15.0,18.0,6.0,26.0,1.7777777777777777,2.0555555555555554,0.9444444444444444,0.2222222222222222,1.1111111111111112,33.0,5.444444444444445,83.33333333333333,41.02564102564103,-104.40901704682187,124.22170335604932
77,Vlatko Cancar,2.0,18.0,3.0,4.0,1.0,3.0,4.0,1.0,0.0,0.5,2.0,0.5,0.0,0.5,1.0,5.5,75.0,75.0,92.13473157493736,-0.15565932879012223
78,Clint Capela,20.0,587.0,106.0,178.0,0.0,26.0,50.0,77.0,168.0,12.25,1.2,1.0,1.35,0.6,52.0,11.9,52.0,59.550561797752806,1617.7867328762509,-599.349047516181
79,Vernon Carey Jr.,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.0,
